Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,,Awards
14,2018,NBA,1,14,DEN,Michael Porter\portemi01,19.362,F,us,University of Missouri,,,,,,,,,,,,,,,
15,2018,NBA,1,15,WAS,Troy Brown\browntr01,18.333,G-F,us,University of Oregon,2019,2019,48,12.6,4.4,2.6,1.4,0.4,0.1,.418,.447,.345,.651,0.6,.046,Career,Oregon,,35,35,31.2,4.1,9.2,.444,3.2,6.1,.524,0.9,3.1,.291,2.2,3.0,.743,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,,4.84
16,2018,NBA,1,16,PHO,Zhaire Smith\smithzh01,19.022,G,us,Texas Tech University,2019,2019,2,7.5,1.5,0.5,0.5,0.5,0.5,.500,.000,1.000,,0.1,.163,Career,Texas Tech,,37,21,28.4,4.2,7.5,.556,3.7,6.4,.574,0.5,1.1,.450,2.5,3.4,.717,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,,9.60
17,2018,NBA,1,17,MIL,Donte DiVincenzo\divindo01,21.146,G,us,Villanova University,2019,2019,27,15.2,4.9,2.4,1.1,0.5,0.2,.403,.683,.265,.750,0.6,.071,Career,Villanova,,85,12,25.4,3.6,7.6,.469,2.0,3.6,.573,1.5,4.0,.378,1.6,2.2,.705,1.1,2.9,4.0,2.4,0.9,0.2,1.6,1.8,10.2,,9.74,,
18,2018,NBA,1,18,SAS,Lonnie Walker\walkelo01,19.194,G,us,University of Miami,2019,2019,12,6.4,1.8,1.0,0.3,0.5,0.2,.250,.227,.333,1.000,-0.1,-0.071,Career,Miami (FL),,32,18,27.8,4.1,9.9,.415,2.4,4.9,.487,1.8,5.1,.346,1.5,2.0,.738,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,,6.96
19,2018,NBA,1,19,ATL,Kevin Huerter\huertke01,19.303,G,us,University of Maryland,2019,2019,71,27.3,9.5,3.2,2.8,0.9,0.3,.411,.452,.377,.741,1.2,.031,Career,Maryland,,65,65,31.9,4.2,9.0,.466,2.1,3.6,.572,2.1,5.4,.394,1.5,2.0,.748,0.8,4.2,5.0,3.0,0.8,0.7,1.9,2.1,12.0,,8.11
20,2018,NBA,1,20,MIN,Josh Okogie\okogijo01,19.298,G,ng,Georgia Institute of Technology,2019,2019,69,23.7,7.9,3.1,1.2,1.1,0.4,.388,.469,.280,.726,1.1,.033,Career,Georgia Tech,,61,61,33.0,5.4,12.3,.437,4.3,9.4,.454,1.1,2.8,.382,5.1,6.6,.777,1.8,4.0,5.8,2.0,1.5,0.8,2.3,2.7,16.9,,7.84
21,2018,NBA,1,21,UTA,Grayson Allen\allengr01,22.262,G,us,Duke University,2019,2019,33,9.2,3.8,0.3,0.5,0.1,0.1,.322,.364,.297,.690,-0.1,-0.022,Career,Duke,,142,97,27.9,4.3,9.9,.430,2.2,4.5,.490,2.0,5.4,.380,3.5,4.2,.834,0.5,2.6,3.2,3.0,1.0,0.1,1.7,2.1,14.1,,10.27,,
22,2018,NBA,1,22,CHI,Chandler Hutchison\hutchch01,22.061,G,us,Boise State University,2019,2019,44,20.3,5.2,4.2,0.8,0.5,0.1,.459,.516,.280,.605,0.6,.030,Career,Boise State,,123,89,24.0,4.3,8.9,.476,3.6,7.1,.508,0.6,1.8,.353,2.9,4.2,.687,1.1,4.3,5.5,2.1,1.0,0.2,1.9,2.2,12.0,,2.57
23,2018,NBA,1,23,IND,Aaron Holiday\holidaa01,21.269,G,us,University of California Los Angeles,2019,2019,46,11.9,5.6,1.3,1.5,0.4,0.3,.404,.474,.333,.844,0.9,.076,Career,UCLA,,101,65,31.8,4.7,10.5,.450,2.9,6.2,.469,1.8,4.2,.422,3.1,3.9,.795,0.5,2.7,3.2,4.7,1.2,0.2,3.0,2.7,14.3,,7.65
24,2018,NBA,1,24,POR,Anfernee Simons\simonan01,19.018,G,us,,2019,2019,17,4.8,2.1,0.4,0.2,0.0,0.0,.378,.522,.143,.500,-0.3,-0.152,NA
